index,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,torque_splitnm,torque_splitrpm,selling_price_grouped,std_price
63,66,Ford,2017,7200,25000,East,District of Columbia,Washington,Petrol,Individual,Manual,Third_Owner,18.16,1196,86.8,5,Y,112.0,4000,7200.0,-0.061227503353226194
64,67,Maruti,2019,7800,30000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,21.4,1197,83.1,5,Y,115.0,4000,7800.0,0.00023289287084235245
65,68,Volkswagen,2016,6480,40000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,22.0,1498,108.495,5,Y,250.0,2250,6480.0,-0.13497997882210844
66,69,Honda,2015,7560,135000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,25.1,1498,98.6,5,Y,200.0,1750,7560.0,-0.024351265618785065
67,70,Maruti,2018,5376,30000,East,District of Columbia,Washington,Petrol,Individual,Automatic,First_Owner,20.51,998,67.0,5,Y,90.0,3500,5376.0,-0.24806710787439457
68,71,Volkswagen,2017,6000,80000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,21.66,1498,108.62,5,Y,250.0,2250,6000.0,-0.18414829580136327
69,72,Maruti,2016,8940,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,5,Y,200.0,1750,8940.0,0.11700764569657258
70,73,Maruti,2019,12300,9850,East,Massachusetts,Boston,Diesel,Individual,Automatic,First_Owner,24.3,1248,88.5,5,Y,200.0,1750,12300.0,0.46118586455135646
71,74,Hyundai,2011,2820,60000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,20.36,1197,78.9,5,Y,111.7,4000,2820.0,-0.5098883957889265
72,75,Maruti,2016,7560,70000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,25.2,1248,74.0,5,Y,190.0,2000,7560.0,-0.024351265618785065
73,76,Toyota,2015,20400,78000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,12.55,2982,168.5,7,Y,343.0,2400,20400.0,1.2909012135762818
74,77,Maruti,2013,5400,120000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,22.9,1248,74.0,5,Y,190.0,2000,5400.0,-0.2456086920254318
75,78,Maruti,2012,5400,120000,South,Florida,Miami,Petrol,Individual,Manual,Second_Owner,16.02,1373,93.7,7,Y,130.0,4000,5400.0,-0.2456086920254318
76,80,Volkswagen,2013,5400,170000,South,North Carolina,Charlotte,Diesel,Individual,Manual,First_Owner,20.54,1598,103.6,5,Y,250.0,2000,5400.0,-0.2456086920254318
77,81,Toyota,2016,14400,140000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,12.99,2494,100.6,8,Y,200.0,2400,14400.0,0.6762972513355964
78,82,Ford,2015,7320,90000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,22.77,1498,98.59,5,Y,205.0,2500,7320.0,-0.048935424108412486
79,83,BMW,2016,30000,30000,Central,Illinois,Chicago,Petrol,Individual,Automatic,Second_Owner,15.71,1998,189.0,5,Y,280.0,2975,30000.0,2.2742675531613785
80,84,Maruti,2017,5819,10000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,23.1,998,67.04,5,Y,90.0,3500,5819.0,-0.20268884866229062
81,85,Datsun,2016,3300,49000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,19.02,1198,67.05,5,Y,104.0,4000,3300.0,-0.46072007880967175
82,86,Maruti,2016,3780,32000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,24.7,796,47.3,5,Y,69.0,3500,3780.0,-0.4115517618304169
83,87,Maruti,2016,3300,38000,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,24.7,796,47.3,5,Y,69.0,3500,3300.0,-0.46072007880967175
84,89,Hyundai,2012,3480,28000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,19.81,1086,68.05,5,Y,99.04,4500,3480.0,-0.4422819599424512
85,90,Maruti,2017,3360,32000,Central,Michigan,Detroit,Petrol,Dealer,Manual,First_Owner,14.0,796,35.0,5,Y,140.0,3000,3360.0,-0.45457403918726486
86,91,Maruti,2010,2700,44000,Central,Michigan,Detroit,LPG,Dealer,Manual,First_Owner,26.2,998,58.2,5,Y,77.0,3500,2700.0,-0.5221804750337403
87,92,Volkswagen,2015,5460,42000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First_Owner,16.47,1198,74.0,5,Y,110.0,3750,5460.0,-0.23946265240302497
88,93,Hyundai,2015,4212,45000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,Second_Owner,19.81,1086,68.05,5,Y,99.04,4500,4212.0,-0.36730027654908753
89,94,Volkswagen,2012,6420,12000,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,Second_Owner,15.04,1598,103.6,5,Y,153.0,3800,6420.0,-0.1411260184445153
90,95,Maruti,2009,2100,55500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First_Owner,18.2,998,67.1,5,Y,90.0,3500,2100.0,-0.5836408712578088
91,96,Hyundai,2013,6300,61500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First_Owner,18.5,1197,82.85,5,Y,113.7,4000,6300.0,-0.153418097689329
92,97,Maruti,2016,7200,150000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,26.59,1248,74.0,5,Y,190.0,2000,7200.0,-0.061227503353226194
93,98,Hyundai,2016,6780,72000,South,Georgia,Atlanta,Petrol,Dealer,Automatic,First_Owner,19.1,1197,82.0,5,Y,114.0,4000,6780.0,-0.10424978071007417
94,99,Maruti,2008,1440,68000,West,California,Los Angeles,Petrol,Dealer,Manual,Third_Owner,19.7,796,46.3,5,Y,62.0,3000,1440.0,-0.6512473071042842
95,100,Hyundai,2017,8700,110000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,5,Y,219.7,2125,8700.0,0.09242348720694517
96,101,Maruti,2009,2220,77000,East,District of Columbia,Washington,Petrol,Dealer,Manual,Second_Owner,21.79,998,67.05,5,Y,90.0,3500,2220.0,-0.5713487920129952
97,102,Tata,2010,2400,100000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second_Owner,18.8,1248,90.0,5,Y,200.0,2375,2400.0,-0.5529106731457746
98,103,Maruti,2019,7380,10000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,21.21,1197,81.8,5,Y,113.0,4200,7380.0,-0.04278938448600563
99,104,Maruti,2016,3240,100000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Third_Owner,15.37,1196,73.0,7,Y,101.0,3000,3240.0,-0.4668661184320786
100,105,Maruti,2018,7320,35000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,First_Owner,21.4,1197,83.1,5,Y,115.0,4000,7320.0,-0.048935424108412486
101,106,Mahindra,2014,7500,70000,East,Pennsylvania,Philadelphia,Diesel,Individual,Automatic,Second_Owner,11.79,2179,120.0,8,Y,290.0,2300,7500.0,-0.03049730524119192
102,107,Ford,2020,4800,5000,Central,Texas,Houston,Petrol,Individual,Manual,Second_Owner,19.0,1194,94.68,5,Y,120.0,4250,4800.0,-0.30706908824950035
103,108,Hyundai,2017,10392,37800,East,New York,New York City,Petrol,Individual,Manual,First_Owner,17.0,1591,121.3,5,Y,151.0,4850,10392.0,0.26574180455881846
104,109,Volkswagen,2010,8400,114000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,14.3,1798,160.0,5,Y,250.0,3000,8400.0,0.0616932890949109
105,110,Tata,2010,3600,48000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,15.8,1172,65.0,5,Y,96.0,3000,3600.0,-0.42998988069763744
106,111,Mahindra,2019,20400,32000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,15.1,2179,155.0,7,Y,360.0,2275,20400.0,1.2909012135762818
107,112,Tata,2016,4500,100000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,19.09,1405,69.01,5,Y,135.0,2500,4500.0,-0.33779928636153467
108,113,Hyundai,2013,6264,150000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,22.32,1582,126.32,5,Y,259.8,2325,6264.0,-0.15710572146277313
109,114,Hyundai,2013,5423,69000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,21.9,1396,88.76,5,Y,219.6,2125,5423.0,-0.24325271017017586
110,115,Toyota,2009,3600,100000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,14.53,1798,138.1,5,Y,173.0,4000,3600.0,-0.42998988069763744
111,116,Maruti,2020,5700,13000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,21.63,998,67.04,5,Y,90.0,3500,5700.0,-0.21487849391339756
112,117,Maruti,2016,9360,60000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,5,Y,200.0,1750,9360.0,0.16002992305342056
113,118,Maruti,2017,7140,40000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,20.85,1197,83.14,5,Y,115.0,4000,7140.0,-0.06737354297563304
114,119,Maruti,2017,5280,35000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,20.51,998,67.04,5,Y,90.0,3500,5280.0,-0.2579007712702455
115,121,Nissan,2014,4800,70000,East,District of Columbia,Washington,Diesel,Individual,Manual,Third_Owner,20.45,1461,83.8,5,Y,200.0,1900,4800.0,-0.30706908824950035
116,122,Hyundai,2016,13680,50000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,19.67,1582,126.2,5,Y,259.9,2325,13680.0,0.6025447758667141
117,123,Ford,2017,10200,76139,East,New York,New York City,Diesel,Individual,Manual,First_Owner,23.0,1498,98.96,5,Y,205.0,2500,10200.0,0.24607447776711652
118,124,Maruti,2012,4440,175000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Fourth_Above_Owner,19.3,1248,73.9,5,Y,190.0,2000,4440.0,-0.3439453259839415
119,125,Renault,2018,4200,25000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,23.01,999,67.0,5,Y,91.0,4250,4200.0,-0.3685294844735689
120,126,Maruti,2015,4320,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second_Owner,23.1,998,67.04,5,Y,90.0,3500,4320.0,-0.3562374052287552
121,127,Maruti,2008,1260,65000,East,Massachusetts,Boston,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,5,Y,62.0,3000,1260.0,-0.6696854259715048
122,128,Maruti,2013,7500,90000,West,California,San Francisco,Diesel,Individual,Manual,Second_Owner,20.77,1248,88.76,7,Y,200.0,1750,7500.0,-0.03049730524119192
123,129,Hyundai,2009,1620,80000,West,Washington,Seattle,Petrol,Individual,Manual,Second_Owner,17.92,1086,62.1,5,Y,96.1,3000,1620.0,-0.6328091882370637
124,130,Maruti,2015,8400,110000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second_Owner,20.77,1248,88.76,7,Y,200.0,1750,8400.0,0.0616932890949109
125,131,Honda,2019,8280,1303,East,District of Columbia,Washington,Petrol,Dealer,Manual,First_Owner,17.8,1198,86.7,5,Y,109.0,4500,8280.0,0.04940120985009719
126,132,Audi,2018,47700,31800,West,Washington,Seattle,Diesel,Dealer,Automatic,First_Owner,17.01,1968,188.0,5,Y,400.0,2375,47700.0,4.087349241771401
127,133,Lexus,2019,61800,20000,West,Washington,Seattle,Petrol,Dealer,Automatic,First_Owner,22.37,2487,214.56,5,Y,202.0,4400,61800.0,5.5316685530370115
128,134,Jaguar,2017,38400,45000,East,New York,New York City,Diesel,Dealer,Automatic,First_Owner,19.33,1999,177.0,5,Y,430.0,2125,38400.0,3.134713100298338
129,135,Jeep,2017,49200,17000,West,California,Los Angeles,Petrol,Individual,Automatic,First_Owner,9.5,3604,280.0,5,Y,347.0,4300,49200.0,4.241000232331572
130,136,Land,2019,54000,21000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,12.83,1999,148.31,7,Y,382.0,2000,54000.0,4.73268340212412
131,137,Mercedes,2017,72000,37000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,13.5,2987,254.79,5,Y,620.0,2000,72000.0,6.576495288846177
132,138,BMW,2018,45480,29500,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,22.48,1995,187.74,5,Y,400.0,2125,45480.0,3.859945775742347
133,140,BMW,2019,69600,7500,East,New York,New York City,Diesel,Dealer,Automatic,First_Owner,16.78,1995,190.0,5,Y,400.0,2125,69600.0,6.330653703949903
134,141,Skoda,2018,22379,50000,West,California,San Diego,Petrol,Dealer,Automatic,First_Owner,14.67,1798,177.46,5,Y,250.0,3125,22379.0,1.4936180871220013
135,142,Mercedes,2016,32400,35000,West,California,San Diego,Diesel,Dealer,Automatic,First_Owner,15.0,2143,204.0,5,Y,500.0,1700,32400.0,2.520109138057653
136,143,MG,2019,21000,19000,West,California,San Diego,Petrol,Dealer,Automatic,First_Owner,13.96,1451,141.0,5,Y,250.0,2600,21000.0,1.3523616098003504
137,144,Honda,2017,9540,41000,West,Washington,Seattle,Petrol,Dealer,Automatic,First_Owner,18.0,1497,117.6,5,Y,145.0,4600,9540.0,0.17846804192064114
138,145,Toyota,2013,7500,39000,East,District of Columbia,Washington,Petrol,Dealer,Automatic,First_Owner,14.28,1798,138.03,5,Y,173.0,4000,7500.0,-0.03049730524119192
139,146,Volvo,2018,40800,22000,East,District of Columbia,Washington,Diesel,Dealer,Automatic,First_Owner,18.0,1969,190.0,5,Y,400.0,2212,40800.0,3.3805546851946127
140,147,Audi,2015,31800,53000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,12.07,2967,241.4,7,Y,550.0,2250,31800.0,2.4586487418335845
141,148,Maruti,2015,6420,40000,West,California,Los Angeles,Diesel,Dealer,Manual,First_Owner,26.21,1248,88.5,5,Y,200.0,1750,6420.0,-0.1411260184445153
142,149,Mercedes,2017,70200,47000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,13.5,2987,282.0,5,Y,490.0,1600,70200.0,6.392114100173971
143,150,BMW,2010,11700,72200,East,District of Columbia,Washington,Petrol,Dealer,Automatic,Second_Owner,10.8,2497,150.0,5,Y,250.0,2750,11700.0,0.3997254683272879
144,151,Hyundai,2016,9660,49900,East,District of Columbia,Washington,Petrol,Dealer,Manual,First_Owner,16.3,1797,147.5,5,Y,177.5,4700,9660.0,0.19076012116545485
145,152,Jaguar,2017,31500,9000,East,New York,New York City,Diesel,Dealer,Automatic,First_Owner,13.6,1999,177.0,5,Y,430.0,2125,31500.0,2.42791854372155
146,153,Tata,2018,9732,11000,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,17.0,1198,108.5,5,Y,170.0,2875,9732.0,0.19813536871234308
147,154,Volkswagen,2011,4500,49000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,15.04,1598,103.6,5,Y,153.0,3800,4500.0,-0.33779928636153467
148,155,Hyundai,2012,6600,95000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.3,1797,147.5,5,Y,177.5,4700,6600.0,-0.12268789957729474
149,156,Skoda,2016,7740,11000,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First_Owner,14.3,1598,103.5,5,Y,153.0,3800,7740.0,-0.005913146751564502
150,157,Mercedes,2018,30600,18000,Central,Illinois,Chicago,Petrol,Dealer,Automatic,First_Owner,15.04,1991,183.0,5,Y,300.0,2600,30600.0,2.335727949385447
151,158,Maruti,2014,7188,46100,Central,Texas,Houston,Petrol,Dealer,Manual,First_Owner,16.02,1373,93.7,7,Y,130.0,4000,7188.0,-0.06245671127770756
152,159,Mercedes,2017,32400,16000,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First_Owner,14.74,1991,181.04,5,Y,300.0,1300,32400.0,2.520109138057653
153,160,Honda,2017,10500,18000,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First_Owner,15.6,1497,116.3,5,Y,146.0,4800,10500.0,0.2768046758791508
154,161,Toyota,2019,10739,9654,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First_Owner,19.56,1197,81.8,5,Y,113.0,4200,10739.0,0.30128640037507143
155,162,Maruti,2011,2100,11000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First_Owner,23.95,998,67.05,5,Y,90.0,3500,2100.0,-0.5836408712578088
156,163,Maruti,2012,4080,24300,West,Washington,Seattle,Petrol,Dealer,Manual,First_Owner,21.21,1197,81.8,5,Y,113.0,4200,4080.0,-0.3808215637183826
157,164,Toyota,2016,18300,42163,West,Washington,Seattle,Diesel,Dealer,Automatic,Second_Owner,11.36,2755,171.5,7,Y,360.0,2300,18300.0,1.0757898267920418
